dissimilarity,rdm_index,trialno_1,trialno_2,pattern_index_1,pattern_index_2
0.5709124505519867,0,D3,D8,2,5
0.8249938189983368,0,D3,B26,2,6
0.7979608029127121,0,D3,C26,2,7
0.847004696726799,0,D3,D26,2,8
0.9139397591352463,0,D3,B30,2,9
0.9398025944828987,0,D3,C30,2,10
0.8611578792333603,0,D3,D30,2,11
0.894565150141716,0,D3,B42,2,12
0.9310874715447426,0,D3,C42,2,13
0.9255875572562218,0,D3,D42,2,14
0.745345950126648,0,D3,B43,2,15
0.7876100540161133,0,D3,C43,2,16
0.7328745126724243,0,D3,D43,2,17
0.8837268799543381,0,D3,B51,2,18
0.8191570490598679,0,D3,C51,2,19
0.8390655517578125,0,D3,D51,2,20
0.8508140444755554,0,D3,B52,2,21
0.852698490023613,0,D3,C52,2,22
0.9525907412171364,0,D3,D52,2,23
0.8085631728172302,0,D3,B53,2,24
0.7674373090267181,0,D3,C53,2,25
0.7921057641506195,0,D3,D53,2,26
0.6936096549034119,0,D3,B54,2,27
0.7923142910003662,0,D3,C54,2,28
0.7733491212129593,0,D3,D54,2,29
0.7830774486064911,0,D3,B55,2,30
0.7326769828796387,0,D3,C55,2,31
0.7556135654449463,0,D3,D55,2,32
0.8075479865074158,0,D3,B56,2,33
0.7796013057231903,0,D3,C56,2,34
0.7274385690689087,0,D3,D56,2,35
0.8745730519294739,0,D3,B57,2,36
0.8464382290840149,0,D3,C57,2,37
0.9624003432691097,0,D3,D57,2,38
0.9340696409344673,0,D3,B63,2,39
0.8528013676404953,0,D3,C63,2,40
0.8484444320201874,0,D3,D63,2,41
0.9253400042653084,0,D3,B65,2,42
0.9454353973269463,0,D3,C65,2,43
0.9773670453578234,0,D3,D65,2,44
0.8983117640018463,0,D3,B67,2,45
0.8259346783161163,0,D3,C67,2,46
0.9557483233511448,0,D3,D67,2,47
0.9106185808777809,0,D3,B73,2,48
0.9112664759159088,0,D3,C73,2,49
0.8954298198223114,0,D3,D73,2,50
0.8686376959085464,0,D3,B77,2,51
0.8252480179071426,0,D3,C77,2,52
0.893754780292511,0,D3,D77,2,53
0.7501932829618454,0,D3,B78,2,54
0.7419109046459198,0,D3,C78,2,55
0.7332111299037933,0,D3,D78,2,56
0.9572730772197247,0,D3,B80,2,57
0.9785995502024889,0,D3,C80,2,58
0.969525758177042,0,D3,D80,2,59
0.6903952062129974,0,D3,B88,2,60
0.6651113927364349,0,D3,C88,2,61
0.7637071460485458,0,D3,D88,2,62
1.0060413614846766,0,D3,B91,2,63
1.0112129738554358,0,D3,C91,2,64
1.0424222201108932,0,D3,D91,2,65
0.7867058664560318,0,D3,B92,2,66
0.8254183828830719,0,D3,C92,2,67
0.8415119349956512,0,D3,D92,2,68
1.0293868910521269,0,D3,B94,2,69
0.9754978064447641,0,D3,C94,2,70
1.023739755153656,0,D3,D94,2,71
0.6655310690402985,0,D3,B96,2,72
0.6995541155338287,0,D3,C96,2,73
0.732811838388443,0,D3,D96,2,74
0.2228260636329651,0,B8,C8,3,4
0.3801698684692383,0,B8,D8,3,5
0.9074125736951828,0,B8,B26,3,6
0.8433060497045517,0,B8,C26,3,7
1.0317513160407543,0,B8,D26,3,8
0.9764908701181412,0,B8,B30,3,9
1.0192021187394857,0,B8,C30,3,10
1.0825669467449188,0,B8,D30,3,11
0.947133231908083,0,B8,B42,3,12
0.8742976635694504,0,B8,C42,3,13
0.9242762997746468,0,B8,D42,3,14
0.7591049075126648,0,B8,B43,3,15
0.7253828644752502,0,B8,C43,3,16
0.7735307514667511,0,B8,D43,3,17
0.8921716660261154,0,B8,B51,3,18
0.942455779761076,0,B8,C51,3,19
0.8830240443348885,0,B8,D51,3,20
0.848021611571312,0,B8,B52,3,21
0.859418198466301,0,B8,C52,3,22
0.9668164737522602,0,B8,D52,3,23
0.8070960640907288,0,B8,B53,3,24
0.879687063395977,0,B8,C53,3,25
0.8695337027311325,0,B8,D53,3,26
0.8904808387160301,0,B8,B54,3,27
0.8860396966338158,0,B8,C54,3,28
0.9053201079368591,0,B8,D54,3,29
0.9657587446272373,0,B8,B55,3,30
0.9365840926766396,0,B8,C55,3,31
0.8781407102942467,0,B8,D55,3,32
0.8486945331096649,0,B8,B56,3,33
0.7783824354410172,0,B8,C56,3,34
0.8116440922021866,0,B8,D56,3,35
0.8920883536338806,0,B8,B57,3,36
0.878206230700016,0,B8,C57,3,37
1.0170934963971376,0,B8,D57,3,38
0.780284509062767,0,B8,B63,3,39
0.7951449602842331,0,B8,C63,3,40
0.8950961604714394,0,B8,D63,3,41
0.8686643242835999,0,B8,B65,3,42
0.8580061197280884,0,B8,C65,3,43
0.8080306500196457,0,B8,D65,3,44
0.8649614304304123,0,B8,B67,3,45
0.8777857199311256,0,B8,C67,3,46
0.9480006210505962,0,B8,D67,3,47
0.9751003030687571,0,B8,B73,3,48
0.9667080491781235,0,B8,C73,3,49
1.0463244579732418,0,B8,D73,3,50
0.9958330602385104,0,B8,B77,3,51
0.994099935516715,0,B8,C77,3,52
1.013677030801773,0,B8,D77,3,53
0.7704071253538132,0,B8,B78,3,54
0.7415851056575775,0,B8,C78,3,55
0.8386902213096619,0,B8,D78,3,56
0.9360460042953491,0,B8,B80,3,57
0.9625512473285198,0,B8,C80,3,58
0.9644455313682556,0,B8,D80,3,59
0.7840561866760254,0,B8,B88,3,60
0.7504927814006805,0,B8,C88,3,61
0.7226404845714569,0,B8,D88,3,62
0.9695053435862064,0,B8,B91,3,63
0.9557487778365612,0,B8,C91,3,64
1.0262293685227633,0,B8,D91,3,65
0.8902410566806793,0,B8,B92,3,66
0.8703108131885529,0,B8,C92,3,67
0.8503680378198624,0,B8,D92,3,68
0.963659506291151,0,B8,B94,3,69
0.8374449163675308,0,B8,C94,3,70
0.9058476388454437,0,B8,D94,3,71
0.7558679729700089,0,B8,B96,3,72
0.8562722206115723,0,B8,C96,3,73
0.7835003137588501,0,B8,D96,3,74
0.4034653306007385,0,C8,D8,4,5
1.0103151928633451,0,C8,B26,4,6
0.9535089172422886,0,C8,C26,4,7
1.0927317067980766,0,C8,D26,4,8
0.9692957140505314,0,C8,B30,4,9
1.0159231666475534,0,C8,C30,4,10
1.0080497674643993,0,C8,D30,4,11
0.9172756969928741,0,C8,B42,4,12
0.8640109598636627,0,C8,C42,4,13
0.9301325157284737,0,C8,D42,4,14
0.8117303103208542,0,C8,B43,4,15
0.7824232131242752,0,C8,C43,4,16
0.8410562872886658,0,C8,D43,4,17
0.9255670979619026,0,C8,B51,4,18
0.9662762619554996,0,C8,C51,4,19
0.9326696470379829,0,C8,D51,4,20
0.8208262175321579,0,C8,B52,4,21
0.8404316902160645,0,C8,C52,4,22
0.8802668303251266,0,C8,D52,4,23
0.7730491906404495,0,C8,B53,4,24
0.7933617234230042,0,C8,C53,4,25
0.7476285696029663,0,C8,D53,4,26
0.8456347584724426,0,C8,B54,4,27
0.8540060520172119,0,C8,C54,4,28
0.8866699263453484,0,C8,D54,4,29
0.9697331227362156,0,C8,B55,4,30
0.9654237441718578,0,C8,C55,4,31
0.9200316369533539,0,C8,D55,4,32
0.870976448059082,0,C8,B56,4,33
0.8403302878141403,0,C8,C56,4,34
0.8771744817495346,0,C8,D56,4,35
0.8550488501787186,0,C8,B57,4,36
0.8350348919630051,0,C8,C57,4,37
1.0143489334732294,0,C8,D57,4,38
0.8795272707939148,0,C8,B63,4,39
0.859958603978157,0,C8,C63,4,40
0.8919044509530067,0,C8,D63,4,41
0.9897195417433977,0,C8,B65,4,42
0.9768541846424341,0,C8,C65,4,43
0.9172584116458893,0,C8,D65,4,44
0.9208686053752899,0,C8,B67,4,45
0.9227568134665489,0,C8,C67,4,46
1.015935629606247,0,C8,D67,4,47
0.9059809148311615,0,C8,B73,4,48
0.8907516375184059,0,C8,C73,4,49
0.9641583487391472,0,C8,D73,4,50
0.9831145275384188,0,C8,B77,4,51
0.9994269087328576,0,C8,C77,4,52
0.9890440674498677,0,C8,D77,4,53
0.7878398001194,0,C8,B78,4,54
0.7909137159585953,0,C8,C78,4,55
0.8777068331837654,0,C8,D78,4,56
0.9702263027429581,0,C8,B80,4,57
0.9942666818387806,0,C8,C80,4,58
0.9946240889839828,0,C8,D80,4,59
0.7162684500217438,0,C8,B88,4,60
0.6814518868923187,0,C8,C88,4,61
